url,precio,precio_valor,precio_moneda,mantenimiento_valor,caracteristicas,m2_totales,m2_construidos,recamaras,banos,estacionamientos,antiguedad,lat,lng,direccion,ubicacion,descripcion,amenidades,scraped_created_at,scraped_updated_at
https://www.inmuebles24.com/propiedades/desarrollo/ememvein-tauri-luxury-living-150374892.html?n_src=Listado&n_pg=1&n_pos=1&n_search_id=7915746c-7dd2-4701-80df-f9a1b9bfd177,"Departamentos desdeMN 9,560,000",9560000.0,MN,0.0,127 un. | 3 rec. | 220 m² lote,,,3,0,0,N/A,19.1590231,-96.1007444,"Blvd. Manuel Ávila Camacho 2222, Costa de Oro","Fraccionamiento Costa de Oro, Boca del Río","Hay decisiones que definen cómo vas a vivir los próximos años. Tauri Luxury Living es una de ellas: un desarrollo residencial en Boca del Río donde la arquitectura, las vistas y el estilo de vida exclusivo convergen en un solo lugar. Porque vivir bien no es un privilegio — es una elección. Departamentos con vistas panorámicas y amenidades de clase internacional, en una torre de 37 niveles diseñada por jra Arquitectos. Entrega en obra gris que te permiten diseñar tu hogar a tu estilo y personalidad. Departamentos de 2 habitaciones: Desde 130 a 145m2. 2. 5 baños / 2 estac. Departamentos de 3 habitaciones: Desde 185 a 220m2. 3. 5baños / 2 estac. Más de 15 amenidades y servicios: -Infinity pool. -Sala de cine. -Cancha de pádel. -Skybar. -Gimnasio. -Zona trx. -Ludoteca. -Pool bar & grill. -Wellness center. -Asoleaderos. -Motor lobby. -Business center. -Salón social. -Bodegas. -Jardines. -Recepción. Preventa activa. 45% ya vendido. Proyecto ya en construcción. Ubicación privilegiada en Boca del Río, Veracruz",,2026-07-29T20:33:23.662895,2026-07-29T20:33:23.662895
https://www.inmuebles24.com/propiedades/clasificado/veclapin-vive-el-lujo-en-este-penthouse-ensueno-147820015.html?n_src=Listado&n_pills=Patio&n_pg=1&n_pos=2&n_search_id=7915746c-7dd2-4701-80df-f9a1b9bfd177,"MN 12,500,000",12500000.0,MN,0.0,360 m² lote | 3 rec. | 2 baños | 2 estac.,360.0,360.0,3,2,2,N/A,19.08875,-96.104843,"95264 El Conchal, Ver., Mexico","Unidad habitacional San Buenaventura, Río Blanco","Estilo y comodidad en amplios espacios, con ubicación privilegiada. Fraccionamiento Playas del Conchal, está desarrollado entre dos campos de golf y rodeado de centros comerciales. Distribuido en 3 niveles, encontrarás cocina con barr, bar, estancia, estudio. Recámara principal con doble vestidor, spa, baño completo y terraza, 2 recámaras secundarias una de ellas con baño completo y terraza. Cuarto de servicio, área de lavado y 2 lugares de estacionamiento. Exclusivas amenities: alberca con jacuzzi y acceso privado a la playa. Aviso de privacidad, así como quejas, sugerencias y más, consulta nuestro sitio oficial o contáctanos para más detalle. No incluye el mobiliario mostrado en las fotografías. El precio es más gastos e impuestos de escrituración. El pago podrá realizarse con recursos propios o con crédito hipotecario de cualquier institución, pública o privada, sujeto a la negociación que lleguen las partes de la compraventa y a las políticas de la institución correspondiente. En las operaciones de crédito el costo total se determinará en función de los montos variables de conceptos de crédito y gastos notariales. Nom-247",,2026-07-29T20:33:23.662912,2026-07-29T20:33:23.662912
https://www.inmuebles24.com/propiedades/desarrollo/ememvein-departamento-en-venta-torre-camino-real-boca-del-rio-148916761.html?n_src=Listado&n_pg=1&n_pos=3&n_search_id=7915746c-7dd2-4701-80df-f9a1b9bfd177,"Departamentos desdeMN 3,200,000",3200000.0,MN,0.0,4 un. | 2 rec. | 138 m² lote,,,2,0,0,N/A,19.1235870848,-96.1072000554,Departamento en Venta Torre Camino Real Boca del Río • 138 m² • 2 Rec • 3 Baños • A 2 Cuadras de Playa • Alberca y Elevador,"El Morro las Colonias, Boca del Río","Ubicado a una cuadra del mar en Boca del Río, este departamento en Torre Camino Real combina cercanía a la playa, diseño contemporáneo y distribución amplia dentro de un desarrollo residencial de baja densidad con elevador y roof garden común. Cada unidad ofrece 138. 91 m² de construcción con espacios iluminados naturalmente y pensados para la vida diaria: sala-comedor con balcón hacia la calle principal, cocina amplia con barra desayunador, dos recámaras con baño propio y Sala de tv con opción a convertirse en una tercer recámara; la principal con vestidor y baño completo, la secundaria con clóset y baño propio, además de un tercer baño completo para visitas. Integra también cuarto con área de lavado, bodega en azotea y paneles solares. El edificio incluye elevador con capacidad para 4–6 personas, dos cajones de estacionamiento por departamento, Alberca en planta baja y roof garden común con área de asador y zona de comedores, ideales para reuniones sociales. La ubicación permite conexión inmediata con Boulevard Miguel Alemán, comercios, gimnasios y servicios, manteniendo al mismo tiempo la ventaja de estar a pasos de la playa. Cada unidad cuenta con: - 2 Recámaras (Principal con baño completo y vestidor, Secundaria con baño completo y clóset) - 3 Baños Completos- Sala- Comedor (Comedor con espacio para 8 plazas) - Cocina (Cocina amplia con barra/desayunador y acceso a un baño completo- Sala de Estar con acceso a balcón y vista a la calle principal- Sala de tv con opcion a cerrar y ser 3a recamara- Cuarto de lavado y alacena- Vestíbulo con acceso a recámaras y Sala de tv. - Garage Amplio con capacidad para 2 cajones de estacionamiento por departamentoAmenidades y Áreas Comunes: - Alberca y área Verde Social en el acceso principal- Elevador con capacidad para 4-6 personas y escaleras amplias. - Azotea con Roof Garden, Ideal para la convivencia y reuniones sociales- Área con Asador y zona de comedores- Bodega en Azotea para usos múltiples (1 por departamento) - Elevador",Alberca | Roof Garden,2026-07-29T20:33:23.662916,2026-07-29T20:33:23.662916
https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-en-venta-torre-asmara-boca-del-rio.-150608302.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=4&n_search_id=7915746c-7dd2-4701-80df-f9a1b9bfd177,"MN 1,750,000",1750000.0,MN,0.0,65 m² lote | 1 rec. | 1 baño | 1 estac.,65.0,65.0,1,1,1,A estrenar,19.1456604,-96.1225328,Boca del Río,"Adalberto Tejeda, Boca del Río",Superficie 65 m2. 1 Recamara. A 5 min de Plaza Americas y Andamar. Fácil movilidad a toda la ciudad. características: Estacionamiento para 1 auto. Espacio Sala-Comedor. Cocina integral. 1 Recamara. 1 Baño completos. Área de lavado techada. equipamiento: Ducteria para aires acondicionados en todas las áreas. Tanque estacionario. Calentador de gas. Rotoplas. Cisterna con bomba. Construcción con ladrillo térmico y acústico,,2026-07-29T20:33:23.662920,2026-07-29T20:33:23.662920
https://www.inmuebles24.com/propiedades/desarrollo/ememvein-departamentos-frente-al-mar-en-boca-del-rio-azure-149287757.html?n_src=Listado&n_pg=1&n_pos=5&n_search_id=7915746c-7dd2-4701-80df-f9a1b9bfd177,"Departamentos desdeMN 4,290,000",4290000.0,MN,0.0,2 un. | 2 a 3 rec. | 98 a 178 m² lote,,,2,0,0,N/A,19.1681687,-96.112482,Departamentos frente al mar en Boca del Río | AZURE | 2 y 3 recámaras | Amenidades premium,"Costa Verde, Boca del Río","Azure es un nuevo desarrollo residencial frente al mar en Boca del Río diseñado para quienes buscan vivir con estilo, comodidad y conexión con la vida social de la zona. El proyecto integra arquitectura contemporánea, amenidades premium y una ubicación estratégica sobre el Blvd. Manuel Ávila Camacho, una de las zonas con mayor plusvalía de la conurbación. Con solo 49 departamentos, azure ofrece una experiencia residencial exclusiva con vistas al mar, espacios funcionales y amenidades diseñadas para disfrutar cada día. Entrega estimada: Otoño 2027. Ubicado en Boca del Río, en una zona privilegiada con acceso inmediato a los principales puntos de la ciudad. azure es un desarrollo residencial que combina diseño contemporáneo, funcionalidad y estilo de vida frente al mar. El edificio contará con 49 departamentos, distribuidos en tipologías de dos y tres habitaciones diseñadas para ofrecer amplitud, confort y vistas privilegiadas. Tipologías disponibles: Departamentos de 2 habitaciones• 90 a 97 m²• 102 a 110 m²• Algunas unidades con terrazas hasta 152 m²Departamentos de 3 habitaciones• 178 a 200 m²Acabados: • Pisos de mármol• Carpintería en cocina y clósets• Cancelería premium azure contará con 11 amenidades premium diseñadas para disfrutar y convivir: • Alberca• Wet bar• Bar exterior• Asoleadero• Gimnasio• Rooftop bar• Rooftop con jacuzzi• Salón social privado• Terraza• Coworking• Lobby de recepción",Alberca,2026-07-29T20:33:23.662922,2026-07-29T20:33:23.662922
https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-residencial-valdrada-boca-del-150037903.html?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=6&n_search_id=7915746c-7dd2-4701-80df-f9a1b9bfd177,"MN 3,250,000",3250000.0,MN,0.0,103 m² lote | 2 rec. | 2 baños | 1 estac.,103.0,103.0,2,2,1,A estrenar,19.095161,-96.10912909999999,Residencial Valdrada,"Ejido San Jose Novillero, Boca del Río",Superficie 103. 2 Recamaras. Fraccionamiento con amenidades y seguridad las 24 hrs. Cerca de Plaza El Dorado. Salida al Rio. A unos minutos de la playa y del centro de Boca del Rio. Segunda etapa entrega Verano 2026. características: Estacionamiento para 1 auto. Espacio Sala-Comedor. Terraza privada. Cocina integral con barra de granito. 2 Recamaras. 2 Baños. Área de lavado. amenidades: Cancha de pádel. Área de coworking. Zona de asadores. Albercas. Salón de eventos. Restaurantes. Área de juegos infantiles. Cine y ludoteca. Sports bar. Gimnasios. Spa. Área de yoga. Zona de adultos con carril de nado. Pool bar. Roof garden,,2026-07-29T20:33:23.662925,2026-07-29T20:33:23.662925
https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-torre-residencial-francisco-150094452.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=7&n_search_id=7915746c-7dd2-4701-80df-f9a1b9bfd177,"MN 2,500,000",2500000.0,MN,0.0,116 m² lote | 2 rec. | 2 baños | 2 estac.,116.0,116.0,2,2,2,1 años,19.1458054,-96.1204386,Francisco Villa,"Revolución, Boca del Río",Superficie 116 m2. Con Paneles Solares. A solo dos cuadras de Calzada Lázaro Cárdenas. A 3 minutos de plaza Urban Center. características: Cochera para 2 autos. Bodega en azotea. Espacio Sal-comedor. 1/2 Baño. Cocina con barra. Cuarto de lavado. Recamara principal con vestidor y baño completo. Recamara secundaria con closet y baño completo. amenidades: Roof garden. Área social. Paneles solares,,2026-07-29T20:33:23.662928,2026-07-29T20:33:23.662928
https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-amueblado-en-venta-levant-boca-del-rio-149971861.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=8&n_search_id=7915746c-7dd2-4701-80df-f9a1b9bfd177,"MN 8,600,000",8600000.0,MN,0.0,182 m² lote | 3 rec. | 3 baños | 3 estac.,182.0,182.0,3,3,3,10 años,19.1261343859,-96.1060580165,Departamento Amueblado en Venta Levant Boca del Río,"Boca del Río, Veracruz","Departamento Amueblado en VentaTorre LevantBoca del Río, Ver. Exclusivo departamento ubicado en Torre Levant, en una de las zonas mas privilegiadas de Boca del Río. Su altura y orientación ofrecen vistas espectaculares al mar y a la ciudad, así como amaneceres inigualables y una agradable vista marina. $8, 600, 000. 00+ Gastos de escrituración 182 m2 AmuebladoSalaComedorCocina integral con barra de cuarzo, estufa, campana, horno, refrigerador y barra desayunadorMedio baño de visitasCuarto de lavadoCuarto de tv1 Habitación principal con baño completo, vestidor y balcon1 Habitación secundaria con closet y baño completo1 Habitación secundaria con closet y baño completo3 Cajones de estacionamiento 2 BodegasLas amenidades de la Torre Levant son inigualables. Podrás relajarte en la alberca, distrutar del jacuzzi, o pasar un buen rato en el área de asadores y fogatero. Si tienes niños, la ludoteca y el chapoteadero serán sus lugares favoritos. Ademas, cuentas con un gimnasio completamente equipado, una cancha de futbol, salas de trabajo, salón de juegos y un salón de usos multiples para eventos. Todo lo que necesitas está aquí.",,2026-07-29T20:33:23.662930,2026-07-29T20:33:23.662930
https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-azure-residencial-boca-del-rio.-149144849.html?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=9&n_search_id=7915746c-7dd2-4701-80df-f9a1b9bfd177,"MN 4,290,000",4290000.0,MN,0.0,90 m² lote | 2 rec. | 2 baños | 2 estac.,90.0,90.0,2,2,2,A estrenar,19.1600196,-96.1012542,Blvd. Manuel avila camacho,"Costa Verde, Boca del Río","Superficie 90 m2. 2 Recamaras. Vista al mar. Amenidades. Sobre Blvd. Manuel Avila Camacho. Cerca de supermercados como Costco, Soriana y Walmart. características: 2 Estacionamientos. Espacio Sala-Comedor. Cocina integral. 2 Recamaras (la principal con vestidor) 2 Baños. Cuarto de lavado. amenidades: Alberca. Bar. Asoleadero y terraza. Gimnasio. Jacuzzi. Roof top. Coworking. Salón social privado",,2026-07-29T20:33:23.662932,2026-07-29T20:33:23.662932
https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-con-vista-al-mar-cerca-de-bulevar-y-149482955.html?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=10&n_search_id=7915746c-7dd2-4701-80df-f9a1b9bfd177,"MN 5,200,000",5200000.0,MN,0.0,135 m² lote | 2 rec. | 2 baños | 2 estac.,135.0,136.0,2,2,2,15 años,19.131620599999998,-96.10534299999999,Calle Mocambo 500,"Mocambo, Boca del Río","Hermoso departamento con vista al mar. consta de 136 M2. +2 habitaciones (principal con un vestidor amplio) +2 baños completos. +cocina integral equipada. +area sala/comedor. +pequeña terraza frontal con vista al mar. +area de lavado. +cuarto de servicio con baño. +2 cajones de estacionamiento. la torre cuenta con amenidades. +alberca techada. +alberca al aire libre con espectacular vista al mar. +terraza. +2 salones de uso multiple. +lobby. +2 elevadores. +seguridad 24/7. precio de venta $5, 200, 000. ubicacion- torre mocambo 500, cerca de bulevar, plazas comerciales. informes al Ver datos-24. lic. Tania saavedra",,2026-07-29T20:33:23.662934,2026-07-29T20:33:23.662934
